nome_completo,filiacao_pai,filiacao_mae,data_nascimento,sexo,naturalidade,local_tirou_cidade,local_tirou_estado,estado_completo,data_emissao,validade_identidade,orgao_emissor,cpf
Ryan Jesus,João Miguel Garcia,Ana Luiza Câmara,24/11/1958,M,Gonçalves - MG,Castro de Fogaça,DF,Distrito Federal,20/02/2023,20/02/2030,Instituto de Identificacao / PC DF,366.641.799-64
Helena da Costa,Benício da Cruz,Esther Gonçalves,04/06/1952,M,Castro dos Dourados - GO,Ribeiro da Prata,RS,Estado do Rio Grande do Sul,23/12/2022,23/12/2032,Instituto de Identificacao / SSP RS,346.248.541-97
Alice Gonçalves,Lucca Mendes,Ana Liz Caldeira,20/06/2011,M,Nogueira - CE,Sampaio,MA,Estado do Maranhão,24/11/2020,24/11/2028,Instituto de Identificacao / SSP MA,530.605.242-26
Luana Ferreira,Davi Luiz Ribeiro,Hellena Correia,22/07/1975,F,Leão do Sul - RR,Andrade do Galho,ES,Estado do Espírito Santo,03/03/2018,03/03/2025,Instituto de Identificacao / PC ES,924.444.798-03
Caleb Souza,Vinícius Rezende,Lara Mendonça,12/01/2005,F,Nogueira de Cirino - MG,Carvalho,RJ,Estado do Rio de Janeiro,29/05/2023,29/05/2028,Instituto de Identificacao,252.225.303-69
Letícia Monteiro,Pedro Lucas Dias,Vitória Camargo,19/11/1962,M,Pastor de Camargo - GO,Mendonça dos Dourados,RJ,Estado do Rio de Janeiro,03/01/2015,03/01/2020,Instituto de Identificacao,962.203.937-23
Apollo Brito,Danilo Farias,Sophie Moreira,21/10/1936,F,Oliveira - BA,Peixoto,SC,Estado de Santa Catarina,03/03/2022,03/03/2032,Instituto de Identificacao,567.663.160-74
Melissa Cassiano,João Vitor Ferreira,Ana Clara Moraes,13/10/1952,F,Nogueira das Flores - MG,da Rosa dos Dourados,MS,Estado de Mato Grosso do Sul,07/02/2019,07/02/2027,Instituto de Identificacao,656.160.618-95
Henry Gabriel Borges,Theo Monteiro,Julia Farias,22/05/2009,F,Novais - MA,Jesus do Oeste,RO,Estado de Rondônia,03/01/2023,03/01/2028,Instituto de Identificacao,979.325.575-43
Breno Nunes,Benjamin Pacheco,Evelyn Sales,26/03/1994,F,da Luz Verde - AC,Guerra Alegre,MG,Estado de Minas Gerais,29/04/2021,29/04/2029,Instituto de Identificacao,353.424.573-68
Luiz Felipe Porto,José Mendonça,Ana Liz da Costa,28/11/2019,F,Pimenta de Silveira - GO,Rocha do Sul,AC,Estado do Acre,03/07/2024,03/07/2030,Instituto de Identificacao / PC AC,665.945.480-58
Kevin Sá,Noah Almeida,Ayla Porto,26/03/1986,M,Araújo - SC,Barbosa,SP,Estado de São Paulo,19/07/2024,19/07/2030,Instituto de Identificacao / PC SP,022.229.603-17
Ana Luiza Santos,Luan Farias,Stephany Rezende,11/06/1971,F,Sales Verde - TO,Barbosa,MA,Estado do Maranhão,18/04/2018,18/04/2024,Instituto de Identificacao,523.447.987-56
Juan Vasconcelos,Danilo Casa Grande,Amanda Rios,08/06/1963,F,Andrade da Praia - AP,Fogaça,GO,Estado de Goiás,16/04/2022,16/04/2028,Instituto de Identificacao / PC GO,083.989.053-30
Allana Camargo,Dom Câmara,Alícia Marques,18/01/1942,F,Rezende - AC,da Luz,MA,Estado do Maranhão,15/03/2018,15/03/2024,Instituto de Identificacao,351.440.798-03
Marcos Vinicius Rodrigues,Bernardo Andrade,Ana Aragão,19/06/1966,F,Marques - PA,da Rosa,PB,Estado da Paraíba,01/11/2014,01/11/2023,Instituto de Identificacao / SSP PB,693.529.216-51
Apollo Monteiro,Ryan da Costa,Sarah Gomes,01/09/1975,F,Teixeira - SE,Barbosa,PB,Estado da Paraíba,14/08/2011,14/08/2021,Instituto de Identificacao,868.547.314-69
Lorena Alves,Henry Gabriel das Neves,Giovanna Fogaça,15/02/1988,M,Marques Grande - PE,Santos,SE,Estado de Sergipe,29/04/2018,29/04/2024,Instituto de Identificacao,125.107.863-00
Clara Aparecida,Henrique das Neves,Heloísa Garcia,12/10/1945,F,Câmara - PE,Nascimento do Norte,PA,Estado do Pará,26/08/2017,26/08/2024,Instituto de Identificacao / PC PA,227.760.588-40
Bruna Macedo,Levi Machado,Evelyn Moura,13/08/1950,F,Andrade de Garcia - MG,Pimenta de Nogueira,PB,Estado da Paraíba,24/04/2025,24/04/2030,Instituto de Identificacao / SSP PB,977.043.176-10
Anthony Gabriel da Mata,Luiz Fernando Rodrigues,Alice Cavalcante,07/10/1994,M,Dias - DF,Melo,SE,Estado de Sergipe,26/10/2025,26/10/2035,Instituto de Identificacao / SSP SE,415.809.214-10
Rafael Mendes,Kaique Teixeira,Juliana Farias,18/11/1934,M,da Mota de Vieira - MG,Cardoso,MA,Estado do Maranhão,14/12/2024,14/12/2033,Instituto de Identificacao,830.461.989-37
Arthur da Cunha,Lorenzo Porto,Isabela Guerra,04/06/2005,M,Peixoto do Sul - AC,Ribeiro do Sul,BA,Estado da Bahia,08/08/2020,08/08/2029,Instituto de Identificacao,596.043.649-59
Valentina Moreira,Cauã Fernandes,Bárbara Pinto,10/01/1992,F,Sá - RN,Garcia de Melo,RR,Estado de Roraima,09/10/2021,09/10/2028,Instituto de Identificacao / SSP RR,381.804.048-98
Levi Martins,Igor Sampaio,Maria Flor Barbosa,02/03/1937,M,Pacheco - CE,Gomes de Pacheco,RN,Estado do Rio Grande do Norte,12/03/2011,12/03/2017,Instituto de Identificacao / SSP RN,518.684.207-63
Kaique Siqueira,Luiz Henrique Machado,Carolina Pinto,10/05/1965,M,Nunes - AM,Gomes Verde,CE,Estado do Ceará,23/02/2016,23/02/2022,Instituto de Identificacao,629.623.783-09
Mirella da Costa,Pietro Borges,Juliana Fogaça,25/08/1970,M,Fogaça - PB,Montenegro,PR,Estado do Paraná,05/03/2025,05/03/2035,Instituto de Identificacao / SSP PR,479.652.925-46
Benício Novais,Yan Sampaio,Maria Isis Caldeira,20/02/2005,M,Castro da Praia - AM,Lima de Moraes,PI,Estado do Piauí,18/08/2018,18/08/2026,Instituto de Identificacao,112.753.962-38
Evelyn Monteiro,Davi Miguel Oliveira,Sarah Cassiano,19/05/1938,F,Caldeira - RR,Vasconcelos,PA,Estado do Pará,16/06/2023,16/06/2032,Instituto de Identificacao / SSP PA,718.624.831-04
Beatriz Nogueira,José Almeida,Mariana Vargas,18/02/1948,M,Leão - RO,Vasconcelos,AL,Estado de Alagoas,16/03/2020,16/03/2026,Instituto de Identificacao,387.311.035-92
Lorena da Cruz,Pedro Costela,Pietra Ramos,16/10/1942,M,Jesus - AL,da Cruz da Mata,BA,Estado da Bahia,26/10/2016,26/10/2024,Instituto de Identificacao,883.461.812-02
Ana Júlia Costa,Luan Novais,Maria Alice Novaes,16/07/1944,F,Machado - RS,Sá,GO,Estado de Goiás,09/02/2022,09/02/2029,Instituto de Identificacao / PC GO,339.434.987-15
Eduardo Porto,Matheus da Conceição,Maria Sá,08/05/1969,F,Souza Paulista - RS,Machado,RN,Estado do Rio Grande do Norte,22/05/2013,22/05/2020,Instituto de Identificacao / SSP RN,179.689.492-30
Rodrigo Nogueira,Juan Melo,Eloah Souza,13/07/1983,F,da Mata de da Rosa - RN,Novaes do Oeste,CE,Estado do Ceará,19/07/2024,19/07/2030,Instituto de Identificacao / PC CE,972.091.278-30
Luiz Miguel Brito,Carlos Eduardo Pimenta,Manuela Machado,27/01/1956,F,Gonçalves Verde - RO,Costa de Rocha,PA,Estado do Pará,10/09/2020,10/09/2025,Instituto de Identificacao,902.226.023-67
Murilo Silveira,Luigi Martins,Aurora Pastor,18/12/1984,M,da Conceição do Campo - DF,Costa da Mata,PR,Estado do Paraná,20/08/2016,20/08/2026,Instituto de Identificacao / SSP PR,427.254.586-71
Rafael Monteiro,Bryan Viana,Emanuella Duarte,22/07/2003,M,Aragão - PA,Campos,PR,Estado do Paraná,16/01/2012,16/01/2022,Instituto de Identificacao / PC PR,027.918.546-22
Luiz Gustavo Pereira,Luiz Otávio Fonseca,Laura Rios,20/07/1964,F,Silva Grande - RN,Garcia de da Paz,TO,Estado do Tocantins,11/02/2017,11/02/2024,Instituto de Identificacao,838.406.782-39
Laura Borges,Paulo Mendonça,Emilly Martins,02/09/1972,F,Cardoso de Jesus - TO,Silva,RN,Estado do Rio Grande do Norte,23/10/2021,23/10/2029,Instituto de Identificacao / SSP RN,573.622.880-43
Alice Rios,Breno Macedo,Heloísa da Conceição,22/10/2017,F,Rios - PA,Peixoto,RN,Estado do Rio Grande do Norte,29/01/2022,29/01/2029,Instituto de Identificacao / PC RN,913.575.369-67
Bruno Fernandes,Kaique Gonçalves,Isabelly Fogaça,27/01/2023,M,Guerra - GO,Nogueira de da Luz,RJ,Estado do Rio de Janeiro,19/06/2011,19/06/2016,Instituto de Identificacao / PC RJ,288.850.120-20
Thomas Garcia,Luiz Miguel Barbosa,Alice Leão,02/06/2022,F,Azevedo - AL,Cavalcanti,PE,Estado de Pernambuco,01/02/2011,01/02/2018,Instituto de Identificacao / SSP PE,823.374.067-14
Enzo Gabriel Porto,Gustavo Henrique Andrade,Cecilia da Conceição,11/03/1955,F,Sales - AP,da Conceição de Goiás,RN,Estado do Rio Grande do Norte,12/07/2012,12/07/2018,Instituto de Identificacao,770.079.102-30
Maria Liz Dias,Pedro Henrique Vieira,Isadora Nascimento,24/06/2000,M,da Luz do Amparo - AC,Farias,MA,Estado do Maranhão,26/02/2018,26/02/2028,Instituto de Identificacao,383.115.313-85
Jade Lima,Augusto Câmara,Jade Câmara,18/03/1953,M,Marques - ES,Barros,AM,Estado do Amazonas,18/11/2020,18/11/2027,Instituto de Identificacao,391.443.093-48
Theodoro da Rosa,Augusto Ramos,Letícia Correia,13/07/1947,M,Leão - AC,Castro das Flores,AM,Estado do Amazonas,09/02/2013,09/02/2018,Instituto de Identificacao / SSP AM,451.798.143-42
Larissa Castro,Marcos Vinicius Borges,Alice Rodrigues,08/06/2022,M,Alves - MT,Vargas,AM,Estado do Amazonas,06/08/2020,06/08/2026,Instituto de Identificacao / PC AM,342.274.971-95
Mirella Carvalho,Calebe Pires,Zoe Vieira,19/10/1999,M,Albuquerque - TO,Macedo do Norte,RS,Estado do Rio Grande do Sul,06/08/2024,06/08/2034,Instituto de Identificacao,272.141.059-62
Yan da Mota,Arthur Gabriel da Rocha,Gabriela Moreira,03/02/1964,M,Castro Alegre - AC,Lopes,AM,Estado do Amazonas,23/06/2011,23/06/2018,Instituto de Identificacao,419.073.922-07
Sabrina Martins,Theo Gonçalves,Maria Helena Pereira,22/03/1953,M,Azevedo das Pedras - GO,Rezende,TO,Estado do Tocantins,29/07/2024,29/07/2032,Instituto de Identificacao,532.434.888-10
Valentim Nogueira,Brayan da Cruz,Amanda Costela,13/03/1940,F,Novaes - MG,Monteiro da Prata,AP,Estado do Amapá,27/03/2015,27/03/2023,Instituto de Identificacao,764.385.118-11
Sofia Borges,Pietro Santos,Ana Beatriz Camargo,07/10/1960,F,Carvalho - RO,Monteiro Verde,MT,Estado de Mato Grosso,18/05/2014,18/05/2024,Instituto de Identificacao / SSP MT,591.832.639-39
Arthur Gabriel Pastor,João Miguel Ferreira,Maria Laura Costa,22/09/1974,F,Fonseca - AM,Gonçalves,SP,Estado de São Paulo,01/09/2019,01/09/2027,Instituto de Identificacao,168.019.717-34
Isadora Lopes,Antony Freitas,Emilly Pinto,29/07/1973,F,Abreu - CE,da Mota,TO,Estado do Tocantins,29/03/2017,29/03/2025,Instituto de Identificacao / SSP TO,271.386.312-00
João Vitor Carvalho,João Pedro Cassiano,Ana Liz Caldeira,16/03/1956,M,Sampaio da Mata - RS,Leão,PE,Estado de Pernambuco,23/02/2014,23/02/2019,Instituto de Identificacao,117.002.719-45
Alexandre Aparecida,Igor da Mota,Rafaela Jesus,29/03/1996,M,Nogueira - SE,Cassiano,RN,Estado do Rio Grande do Norte,11/05/2019,11/05/2028,Instituto de Identificacao,861.579.179-01
Igor Souza,Asafe Camargo,Maria Guerra,03/03/1944,F,Carvalho de Novais - PE,Novaes,SP,Estado de São Paulo,07/01/2018,07/01/2026,Instituto de Identificacao / SSP SP,687.471.769-30
Luiz Otávio Cardoso,Ravi Barros,Maria Luiza Moreira,22/09/1951,F,Casa Grande - PR,Vasconcelos do Norte,AL,Estado de Alagoas,02/11/2023,02/11/2029,Instituto de Identificacao,815.901.272-39
Yasmin Macedo,Paulo Guerra,Maitê Correia,05/10/1943,F,Vargas Paulista - BA,Duarte do Galho,PA,Estado do Pará,13/11/2024,13/11/2030,Instituto de Identificacao / PC PA,313.202.015-55
Aylla Jesus,Brayan Santos,Maria Clara Vieira,21/07/1956,F,Silveira - MT,da Rosa,MG,Estado de Minas Gerais,01/02/2011,01/02/2017,Instituto de Identificacao / PC MG,079.135.946-80
Paulo Teixeira,Luan Fogaça,Sophia Rocha,22/02/1972,M,Nunes - MG,Cavalcanti de Minas,PA,Estado do Pará,25/02/2024,25/02/2034,Instituto de Identificacao / SSP PA,285.626.922-02
Isabela Moura,Arthur Miguel Fernandes,Heloisa Macedo,15/09/1941,F,da Paz Verde - RR,Marques de Goiás,TO,Estado do Tocantins,28/10/2023,28/10/2031,Instituto de Identificacao / SSP TO,079.321.598-60
Maria Eduarda Fogaça,Mathias Mendonça,Luana Freitas,28/04/2012,M,Farias - TO,Nascimento,TO,Estado do Tocantins,17/06/2014,17/06/2020,Instituto de Identificacao,588.055.397-95
Melina Pimenta,Pedro Miguel Cassiano,Maysa Vieira,17/08/2023,F,Monteiro - AC,Pereira,MS,Estado de Mato Grosso do Sul,16/03/2012,16/03/2022,Instituto de Identificacao / SSP MS,554.825.611-87
Sophia Vasconcelos,Yuri Almeida,Pietra Araújo,25/05/2001,M,Aragão - GO,Barros,AL,Estado de Alagoas,02/02/2013,02/02/2018,Instituto de Identificacao,591.621.736-24
Maria Júlia Duarte,Gabriel Rios,Emilly Albuquerque,03/02/1977,M,Câmara do Campo - PA,Costela do Sul,ES,Estado do Espírito Santo,05/02/2014,05/02/2021,Instituto de Identificacao / SSP ES,998.996.203-00
Helena Ferreira,Heitor Melo,Maria Vitória Lima,04/10/1948,M,Souza - PE,Rocha,PR,Estado do Paraná,20/08/2024,20/08/2029,Instituto de Identificacao / SSP PR,826.199.986-98
Maria Alice Porto,Cauã Carvalho,Luísa Sales,03/05/1985,M,Ferreira - AP,Guerra das Pedras,AC,Estado do Acre,10/03/2015,10/03/2020,Instituto de Identificacao,936.859.448-20
Pedro da Luz,Gael Cavalcante,Maria Clara Moraes,22/03/1992,F,Sousa - PA,Sampaio,RS,Estado do Rio Grande do Sul,21/11/2011,21/11/2021,Instituto de Identificacao,181.654.661-05
Luiz Otávio Nascimento,Marcelo Pires,Ana Vitória Vieira,06/09/1951,M,Lima de Cassiano - PA,da Mata,CE,Estado do Ceará,24/07/2017,24/07/2024,Instituto de Identificacao / SSP CE,437.082.898-26
Ayla da Cruz,Gustavo Henrique Sousa,Caroline Ramos,01/10/1992,M,Cavalcanti - AC,Cassiano Paulista,PR,Estado do Paraná,19/11/2024,19/11/2034,Instituto de Identificacao,490.259.483-80
Kaique Sousa,Yan Pacheco,Stella Pacheco,23/03/1993,M,Lopes - RS,da Paz de Freitas,MT,Estado de Mato Grosso,03/09/2020,03/09/2026,Instituto de Identificacao,275.124.476-36
Pietra Andrade,Benício da Cruz,Brenda Macedo,09/03/2019,M,Souza da Mata - PI,Cunha,AM,Estado do Amazonas,19/09/2017,19/09/2026,Instituto de Identificacao,710.782.173-68
Maria Luísa Fernandes,Luan Teixeira,Natália Rodrigues,10/08/1943,M,Sousa - RR,da Luz da Prata,AM,Estado do Amazonas,08/04/2021,08/04/2031,Instituto de Identificacao,788.420.086-31
Milena Marques,Diogo Ramos,Nicole Alves,31/03/2001,F,Fernandes da Praia - RN,Lopes das Pedras,MS,Estado de Mato Grosso do Sul,07/06/2025,07/06/2034,Instituto de Identificacao / PC MS,972.880.486-23
Dante da Paz,Enzo Aragão,Mirella Sousa,21/05/2023,M,Viana - MA,Montenegro de Sampaio,RN,Estado do Rio Grande do Norte,29/03/2020,29/03/2025,Instituto de Identificacao / SSP RN,595.312.401-23
Davi Miguel Oliveira,Ravi Cunha,Larissa Barros,07/12/1959,M,Moreira de Marques - RJ,Duarte,AL,Estado de Alagoas,05/07/2011,05/07/2019,Instituto de Identificacao / SSP AL,942.161.902-20
José Azevedo,Enzo Gabriel Cunha,Laura Fernandes,31/08/1963,M,Porto - PA,Vargas,AM,Estado do Amazonas,31/07/2024,31/07/2030,Instituto de Identificacao / PC AM,060.236.474-31
Guilherme Lopes,Gustavo Sá,Luana Pires,01/11/2015,M,Brito - RR,Araújo de Goiás,RR,Estado de Roraima,29/11/2015,29/11/2021,Instituto de Identificacao / PC RR,116.867.370-04
Maria Julia Nascimento,Vitor Gabriel Cirino,Maria Julia da Mata,29/08/1990,M,Barros do Campo - SC,Lima,CE,Estado do Ceará,12/09/2019,12/09/2025,Instituto de Identificacao,938.419.056-00
Caleb Costa,Isaac Monteiro,Luiza Carvalho,29/03/1982,M,Ferreira do Oeste - ES,Santos Paulista,AP,Estado do Amapá,15/04/2015,15/04/2024,Instituto de Identificacao / PC AP,091.201.309-88
Lunna Vargas,Pedro Henrique Almeida,Agatha Montenegro,17/04/2006,M,Sá do Amparo - PI,Silveira,ES,Estado do Espírito Santo,27/05/2016,27/05/2021,Instituto de Identificacao / SSP ES,849.626.908-33
Rael Aparecida,Guilherme Gomes,Evelyn Montenegro,14/02/2012,F,Nascimento - PA,Sá,RR,Estado de Roraima,10/03/2023,10/03/2031,Instituto de Identificacao / SSP RR,911.903.772-04
Bianca das Neves,Rhavi Moura,Daniela Abreu,09/07/2003,F,Barbosa da Prata - MG,Correia da Mata,RN,Estado do Rio Grande do Norte,30/08/2019,30/08/2027,Instituto de Identificacao / SSP RN,641.889.404-90
Maria Clara da Rocha,Benjamin Aragão,Maria Luiza Dias,15/03/1946,F,da Rosa do Campo - MG,Freitas Paulista,PA,Estado do Pará,16/10/2019,16/10/2028,Instituto de Identificacao,850.001.689-67
Bruno da Rocha,Luiz Miguel Aragão,Joana Fernandes,10/07/2004,M,Carvalho - PR,Viana do Sul,PR,Estado do Paraná,26/06/2021,26/06/2026,Instituto de Identificacao / SSP PR,439.985.675-10
Stephany Ramos,Bruno da Luz,Ana Beatriz Rezende,08/02/2001,M,Montenegro - PA,Mendes das Pedras,MS,Estado de Mato Grosso do Sul,12/02/2020,12/02/2026,Instituto de Identificacao / PC MS,160.231.232-82
Vitor Hugo Ramos,André Abreu,Alice da Cunha,01/03/2023,F,Silveira do Amparo - MA,Câmara Grande,RR,Estado de Roraima,29/09/2023,29/09/2030,Instituto de Identificacao / PC RR,442.538.222-51
Cauã Siqueira,Ryan Sampaio,Carolina Carvalho,10/10/1993,F,Azevedo - TO,Ribeiro Verde,GO,Estado de Goiás,07/01/2025,07/01/2030,Instituto de Identificacao,708.000.783-60
Joaquim Gonçalves,Breno da Luz,Giovanna Vargas,21/03/1998,F,Novais das Flores - RN,Vargas de Leão,RR,Estado de Roraima,25/06/2017,25/06/2025,Instituto de Identificacao / PC RR,172.717.776-30
Luiz Fernando Campos,Gael Henrique Nogueira,Bruna Sá,31/05/2022,M,Brito - PR,Campos Alegre,AC,Estado do Acre,22/08/2021,22/08/2031,Instituto de Identificacao / PC AC,677.428.076-88
Rael Araújo,Thales Correia,Milena Moreira,29/07/1987,F,Silva de Santos - SE,Moreira,RN,Estado do Rio Grande do Norte,01/09/2020,01/09/2028,Instituto de Identificacao,816.936.691-16
Igor Nunes,Pedro Henrique Correia,Ester Alves,22/01/1990,F,Guerra - RR,Abreu de Goiás,RS,Estado do Rio Grande do Sul,17/09/2012,17/09/2021,Instituto de Identificacao / PC RS,884.458.713-47
Murilo Aragão,Thiago Sá,Ana Carolina Albuquerque,27/08/1943,M,da Paz - AP,Cavalcanti,RR,Estado de Roraima,18/02/2024,18/02/2029,Instituto de Identificacao / SSP RR,801.929.386-08
Theodoro Vieira,Bernardo Gomes,Alexia Ramos,21/03/1954,F,Costela - RS,Montenegro,PI,Estado do Piauí,06/09/2012,06/09/2018,Instituto de Identificacao / PC PI,004.597.911-48
Luiz Henrique Casa Grande,Ravi Lucca Pacheco,Catarina Fogaça,21/11/1960,F,Ribeiro de Albuquerque - RN,Aparecida,SC,Estado de Santa Catarina,06/09/2022,06/09/2030,Instituto de Identificacao / SSP SC,247.127.888-78
Raul Correia,Antony Camargo,Bárbara Teixeira,16/08/2005,M,Casa Grande Verde - CE,Cirino de Goiás,PB,Estado da Paraíba,02/08/2018,02/08/2028,Instituto de Identificacao / PC PB,424.195.738-11
Davi Lucca Ferreira,Daniel Teixeira,Antonella Vieira,18/12/1995,F,Marques - AP,Costa das Pedras,RR,Estado de Roraima,08/02/2015,08/02/2024,Instituto de Identificacao,222.541.787-86
Ana Cecília Cassiano,Enrico Nogueira,Bella Teixeira,26/11/2004,F,Gonçalves de Minas - AL,Viana,DF,Distrito Federal,28/05/2016,28/05/2022,Instituto de Identificacao,977.460.995-70
Isabela Casa Grande,José Pedro Pinto,Laís Novais,06/10/2021,M,Alves - AC,Novais,SC,Estado de Santa Catarina,22/10/2021,22/10/2026,Instituto de Identificacao,933.328.978-73
Heloisa Alves,Benjamin da Rosa,Melina Costela,15/07/2013,F,Pimenta - RN,Andrade,MS,Estado de Mato Grosso do Sul,08/10/2022,08/10/2027,Instituto de Identificacao / SSP MS,110.113.623-14
Mirella Oliveira,Enrico Vieira,Rebeca Silva,05/10/2022,M,Moura das Flores - BA,Vargas,AL,Estado de Alagoas,19/09/2011,19/09/2018,Instituto de Identificacao,080.721.682-90
Cecília Oliveira,Benício Peixoto,Camila Costela,03/05/2024,M,Rodrigues do Oeste - CE,Aparecida,MA,Estado do Maranhão,19/05/2025,19/05/2031,Instituto de Identificacao,874.349.524-09
Heloisa da Cruz,Eduardo Rodrigues,Gabrielly Rezende,21/06/1954,F,Caldeira das Pedras - BA,Moura Alegre,AM,Estado do Amazonas,28/12/2021,28/12/2031,Instituto de Identificacao / PC AM,650.167.130-94
Rael Pereira,Pedro Melo,Ana Cecília Castro,14/06/2015,M,Abreu dos Dourados - AC,Rocha,CE,Estado do Ceará,13/11/2016,13/11/2024,Instituto de Identificacao / SSP CE,092.066.576-13
Maria Liz Lopes,Joaquim Farias,Juliana Castro,30/01/1991,F,Andrade - SE,Rodrigues de Abreu,AP,Estado do Amapá,03/01/2022,03/01/2030,Instituto de Identificacao / PC AP,307.069.332-60
Gabriela Oliveira,Benicio Jesus,Ester Macedo,02/06/2018,M,Almeida das Pedras - CE,Ferreira,SP,Estado de São Paulo,11/04/2014,11/04/2020,Instituto de Identificacao,835.823.795-85
Matteo Dias,Samuel da Conceição,Ana Vitória Costela,20/09/1941,M,Pimenta - SC,Carvalho,RN,Estado do Rio Grande do Norte,06/02/2016,06/02/2022,Instituto de Identificacao / SSP RN,338.302.655-08
Matheus Rodrigues,Henrique Rodrigues,Lívia Porto,11/02/2017,F,Machado - SC,Cassiano Paulista,SE,Estado de Sergipe,18/01/2022,18/01/2032,Instituto de Identificacao,902.703.613-42
Mirella Rios,Dante Leão,Ayla Moraes,13/07/1990,F,Montenegro - PE,Gomes da Mata,RO,Estado de Rondônia,04/12/2022,04/12/2031,Instituto de Identificacao,226.903.647-15
Ian Sampaio,Vitor Gabriel Campos,Maria Júlia Pinto,14/07/2019,F,Brito de Moraes - AL,Porto,PE,Estado de Pernambuco,30/05/2021,30/05/2030,Instituto de Identificacao / SSP PE,354.226.603-32
Yago Aragão,José Martins,Maria Luísa Farias,21/06/2009,F,Santos Grande - PA,Ramos,AP,Estado do Amapá,17/01/2025,17/01/2031,Instituto de Identificacao / SSP AP,645.463.364-83
Maria Flor Fogaça,Augusto da Costa,Melina da Costa,14/12/1950,F,Correia de Sampaio - CE,Novaes,SC,Estado de Santa Catarina,21/09/2023,21/09/2031,Instituto de Identificacao,764.379.190-49
Marina Ferreira,Brayan Novaes,Maria Isis Abreu,27/12/2022,M,Jesus - PA,Cassiano de Pinto,RO,Estado de Rondônia,14/02/2011,14/02/2016,Instituto de Identificacao,370.841.369-23
